id,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26618730,0,0,571,0,0,0,423,0,0,0,0,568,545,0,414,504,0,508,0,465,560,0,0,0,0,565,430,0,0,0,0,0,0,0,420,0
122319698,0,0,0,0,-69,0,0,-45,-13,10,0,14,-33,11,-38,0,0,-17,0,0,0,0,0,0,0,0,0,194,0,242,0,0,0,0,0,-43
296243511,0,0,490,0,0,0,555,572,651,0,0,0,696,0,0,0,651,0,670,0,745,695,0,0,0,0,0,0,0,0,0,696,0,662,0,0
185268490,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,736,779,0,0,0,653,721,0,359,0,652,582,694,786,0,0,0,0,0,0,0
213333326,0,0,554,0,0,581,0,0,0,0,497,-164,45,0,0,89,250,0,0,0,0,0,0,0,0,0,0,316,0,0,469,0,0,0,0,0
123540436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,116,0,0,0,125,0,0,0,0,0,221,235,0,0,0,0,225,0,-20,0
264198768,0,0,0,0,518,0,0,0,471,0,-160,0,0,0,0,0,281,0,0,0,0,0,0,0,463,0,0,0,0,0,595,0,0,0,668,0
198552493,572,660,0,555,594,642,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111107714,0,0,30,0,0,0,0,0,0,0,167,0,0,190,48,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195348521,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0
20112203,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,365,0,0,0,0,0,0
230954562,628,563,518,555,665,659,688,644,610,591,619,0,660,652,523,-172,-248,-78,68,151,169,266,194,224,256,186,176,175,249,262,340,239,305,337,372,360
82546122,518,673,0,626,593,563,550,604,614,514,508,353,528,600,447,270,354,455,418,571,455,397,549,486,636,674,603,545,495,669,0,533,622,649,590,563
133327230,315,-371,-142,-103,0,84,48,89,25,0,93,0,129,156,67,138,139,136,98,127,126,237,0,0,242,264,292,0,352,352,373,313,308,321,66,0
95856121,578,597,578,601,634,611,0,591,604,572,631,567,637,0,583,0,608,579,611,565,-61,35,149,248,388,391,330,379,0,485,0,85,323,0,422,393
226878961,625,673,677,632,672,0,0,641,689,628,648,674,673,663,224,399,483,490,0,467,593,609,576,0,594,0,514,645,0,646,627,612,603,702,639,560
276325010,594,556,679,681,618,682,0,613,669,623,639,0,701,693,582,623,0,-275,-67,0,263,379,0,519,509,518,500,571,0,645,667,655,694,708,696,636
186607825,532,507,552,482,526,527,0,567,591,527,476,565,572,581,537,-506,-254,263,430,0,0,0,471,611,664,0,642,624,701,635,660,0,668,671,0,661
