id,year,index,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
101,2014,473,-16,30,-0.533333333333333,-251,15.6875,NaN,NaN,NaN
101,2015,-365,-838,1,-838,NaN,NaN,2,NaN,NaN
102,2002,-478,-988,1,-988,872,-0.882591093117409,4,5,10
103,1998,-168,-805,1,-805,229,-0.284472049689441,20,NaN,NaN
103,2011,-493,-734,1,-734,744,-1.013623978201635,2,2,5
104,2011,220,-287,4,-71.75,92,-0.320557491289199,1,1,1
104,2019,332,-236,7,-33.714285714285715,NaN,NaN,NaN,NaN,NaN
105,1990,618,-70,6,-11.666666666666666,115,-1.642857142857143,4,4,4
105,1992,319,-299,2,-149.5,374,-1.250836120401338,2,2,2
106,2007,449,-50,23,-2.173913043478261,-193,3.86,NaN,NaN,NaN
106,2008,83,-366,1,-366,173,-0.472677595628415,6,9,NaN
107,1999,-43,-572,1,-572,211,-0.368881118881119,9,10,15
108,1999,-421,-882,1,-882,781,-0.885487528344671,3,5,9
109,2006,140,-375,1,-375,104,-0.277333333333333,12,NaN,NaN
110,1995,521,-206,6,-34.333333333333336,0,-0,NaN,NaN,NaN
110,2013,-508,-1035,1,-1035,822,-0.794202898550725,3,NaN,NaN
111,2003,56,-470,3,-156.66666666666666,59,-0.125531914893617,NaN,NaN,NaN
112,1995,8,-135,1,-135,-5,0.037037037037037,1,4,4
112,2002,-72,-303,3,-101,350,-1.155115511551155,1,2,2
112,2019,136,-146,15,-9.733333333333333,NaN,NaN,NaN,NaN,NaN
113,1998,287,-337,2,-168.5,249,-0.738872403560831,5,18,NaN
114,1994,38,-163,10,-16.3,108,-0.662576687116564,1,1,1
114,2000,49,-428,5,-85.6,84,-0.196261682242991,10,14,NaN
114,2019,258,-93,9,-10.333333333333334,NaN,NaN,NaN,NaN,NaN
115,2002,-491,-1111,1,-1111,384,-0.345634563456346,7,14,NaN
116,2014,536,-78,30,-2.6,-151,1.935897435897436,NaN,NaN,NaN
