id,year,index,magnitude,duration,rate,postMagnitude,postDuration,postRate
800,1984,664.0,NaN,NaN,NaN,25.0,23.0,1.0869565217391304
800,2007,689.0,25.0,23.0,1.0869565217391304,-771.0,1.0,-771.0
800,2008,-82.0,-771.0,1.0,-771.0,421.0,2.0,210.5
800,2010,339.0,421.0,2.0,210.5,302.0,9.0,33.55555555555556
800,2019,641.0,302.0,9.0,33.55555555555556,NaN,NaN,NaN
801,1984,604.0,NaN,NaN,NaN,-136.0,19.0,-7.157894736842105
801,2003,468.0,-136.0,19.0,-7.157894736842105,-253.0,1.0,-253.0
801,2004,215.0,-253.0,1.0,-253.0,330.0,5.0,66.0
801,2009,545.0,330.0,5.0,66.0,8.0,10.0,0.8
801,2019,553.0,8.0,10.0,0.8,NaN,NaN,NaN
802,1984,679.0,NaN,NaN,NaN,-25.0,10.0,-2.5
802,1994,654.0,-25.0,10.0,-2.5,-326.0,1.0,-326.0
802,1995,328.0,-326.0,1.0,-326.0,239.0,1.0,239.0
802,1996,567.0,239.0,1.0,239.0,-194.0,6.0,-32.333333333333336
802,2002,373.0,-194.0,6.0,-32.333333333333336,143.0,1.0,143.0
802,2003,516.0,143.0,1.0,143.0,214.0,16.0,13.375
