# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=false
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
39,2000,-254,252,1,252,517,1,517
39,2001,263,517,1,517,348,6,58
39,2007,611,348,6,58,50,12,4.166666666666667
39,2019,661,50,12,4.166666666666667,NaN,NaN,NaN
40,1984,6,NaN,NaN,NaN,168,6,28
40,1990,174,168,6,28,418,2,209
40,1992,592,418,2,209,-151,7,-21.571428571428573
40,1999,441,-151,7,-21.571428571428573,-285,1,-285
40,2000,156,-285,1,-285,413,1,413
40,2001,569,413,1,413,-208,18,-11.555555555555555
40,2019,361,-208,18,-11.555555555555555,NaN,NaN,NaN
41,1984,-213,NaN,NaN,NaN,366,4,91.5
41,1988,153,366,4,91.5,-139,6,-23.166666666666668
41,1994,14,-139,6,-23.166666666666668,411,21,19.571428571428573
41,2015,425,411,21,19.571428571428573,-786,1,-786
41,2016,-361,-786,1,-786,523,2,261.5
41,2018,162,523,2,261.5,0,1,0
41,2019,162,0,1,0,NaN,NaN,NaN
42,1984,-81,NaN,NaN,NaN,-9,5,-1.8
42,1989,-90,-9,5,-1.8,276,2,138
42,1991,186,276,2,138,-251,18,-13.944444444444445
42,2009,-65,-251,18,-13.944444444444445,254,1,254
42,2010,189,254,1,254,-109,9,-12.11111111111111
42,2019,80,-109,9,-12.11111111111111,NaN,NaN,NaN
43,1984,198,NaN,NaN,NaN,-106,1,-106
43,1985,92,-106,1,-106,325,7,46.42857142857143
43,1992,417,325,7,46.42857142857143,-818,1,-818
43,1993,-401,-818,1,-818,376,1,376
43,1994,-25,376,1,376,184,25,7.36
43,2019,159,184,25,7.36,NaN,NaN,NaN
44,1984,157,NaN,NaN,NaN,158,15,10.533333333333333
44,1999,315,158,15,10.533333333333333,-336,3,-112
44,2002,-21,-336,3,-112,258,1,258
44,2003,237,258,1,258,-238,6,-39.666666666666664
44,2009,-1,-238,6,-39.666666666666664,377,1,377
44,2010,376,377,1,377,-138,9,-15.333333333333334
44,2019,238,-138,9,-15.333333333333334,NaN,NaN,NaN
45,1984,587,NaN,NaN,NaN,-26,31,-0.838709677419355
45,2015,561,-26,31,-0.838709677419355,-618,1,-618
45,2016,-57,-618,1,-618,255,1,255
45,2017,198,255,1,255,-37,2,-18.5
45,2019,161,-37,2,-18.5,NaN,NaN,NaN
46,1984,668,NaN,NaN,NaN,-12,16,-0.75
46,2000,656,-12,16,-0.75,-186,2,-93
