# Running class it.unibo.c2c.CommandLineMain with args: [--negativeMagnitudeOnly, ./src/test/resources/it/unibo/c2c/input.csv]
# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
562,2002,-31,-520,1,-520,174,1,174
563,1998,654,-16,14,-1.142857142857143,-343,1,-343
563,1999,311,-343,1,-343,315,20,15.75
564,2002,196,-524,1,-524,355,1,355
565,2015,-490,-1064,1,-1064,494,3,164.66666666666666
566,1999,-490,-1101,1,-1101,215,1,215
567,1987,330,-223,1,-223,268,12,22.333333333333332
567,2003,261,-337,4,-84.25,275,1,275
568,2001,646,-68,17,-4,-455,1,-455
568,2002,191,-455,1,-455,303,1,303
569,2000,-71,-553,1,-553,330,1,330
570,1992,142,-177,8,-22.125,297,1,297
570,2007,245,-321,8,-40.125,342,7,48.857142857142854
570,2019,278,-309,5,-61.8,NaN,NaN,NaN
571,1990,82,-115,6,-19.166666666666668,329,4,82.25
571,2001,-9,-420,7,-60,403,13,31
571,2015,167,-227,1,-227,-46,4,-11.5
571,2019,121,-46,4,-11.5,NaN,NaN,NaN
572,2013,-275,-509,1,-509,357,6,59.5
573,2002,362,-256,2,-128,306,8,38.25
573,2019,497,-171,9,-19,NaN,NaN,NaN
574,1987,477,-134,2,-67,170,7,24.285714285714285
574,1995,486,-161,1,-161,114,24,4.75
575,2012,323,-38,28,-1.357142857142857,349,1,349
575,2014,-295,-967,1,-967,23,2,11.5
576,1998,289,-22,14,-1.571428571428571,-565,1,-565
576,1999,-276,-565,1,-565,8,8,1
577,1991,235,-306,1,-306,51,15,3.4
577,2008,370,-216,1,-216,105,11,9.545454545454545
578,2006,-180,-454,1,-454,175,1,175
578,2019,-28,-23,12,-1.916666666666667,NaN,NaN,NaN
579,2019,315,-62,35,-1.771428571428571,NaN,NaN,NaN
580,1993,439,-158,1,-158,214,2,107
580,1997,420,-233,2,-116.5,9,22,0.409090909090909
581,2006,144,-21,22,-0.954545454545455,-326,1,-326
581,2007,-182,-326,1,-326,32,6,5.333333333333333
581,2019,-3,-60,5,-12,NaN,NaN,NaN
582,2004,-115,-707,1,-707,382,2,191
583,2017,263,-374,1,-374,117,2,58.5
584,1998,478,-158,1,-158,0,6,0
584,2019,611,-53,13,-4.076923076923077,NaN,NaN,NaN
585,1996,-107,-563,1,-563,254,1,254
587,2002,645,-45,18,-2.5,-295,1,-295
587,2003,350,-295,1,-295,0,6,0
587,2011,292,-380,1,-380,246,8,30.75
588,2015,-23,-265,1,-265,0,4,0
589,1998,538,-2,14,-0.142857142857143,-350,1,-350
589,1999,188,-350,1,-350,282,1,282
592,1998,427,-122,14,-8.714285714285714,297,1,297
592,2019,666,-58,20,-2.9,NaN,NaN,NaN
593,2019,643,-3,35,-0.085714285714286,NaN,NaN,NaN
594,2013,-413,-721,1,-721,225,3,75
595,2016,-529,-723,1,-723,291,3,97
596,1995,-279,-778,1,-778,444,1,444
596,1998,232,-144,1,-144,397,21,18.904761904761905
597,1998,553,-39,14,-2.785714285714286,-761,1,-761
597,1999,-208,-761,1,-761,364,1,364
597,2007,205,-292,1,-292,274,12,22.833333333333332
598,1986,56,-16,2,-8,204,1,204
598,1988,-26,-286,1,-286,426,27,15.777777777777779
598,2016,221,-179,1,-179,167,3,55.666666666666664
599,1989,596,-132,5,-26.4,182,6,30.333333333333332
599,1996,366,-412,1,-412,28,9,3.111111111111111
600,1991,425,-231,1,-231,204,18,11.333333333333334
600,2010,444,-185,1,-185,305,4,76.25
600,2019,565,-184,5,-36.8,NaN,NaN,NaN
601,2010,523,-67,8,-8.375,-1004,1,-1004
601,2011,-481,-1004,1,-1004,598,1,598
602,2011,-212,-276,1,-276,201,2,100.5
602,2019,-57,-46,6,-7.666666666666667,NaN,NaN,NaN
603,1985,150,-453,1,-453,353,1,353
603,2003,-84,-587,17,-34.529411764705884,690,2,345
603,2010,335,-271,5,-54.2,205,9,22.77777777777778
604,1999,477,-191,4,-47.75,102,12,8.5
604,2012,433,-146,1,-146,-3,7,-0.428571428571429
604,2019,430,-3,7,-0.428571428571429,NaN,NaN,NaN
605,1999,-279,-775,1,-775,545,14,38.92857142857143
605,2014,-135,-401,1,-401,193,5,38.6
606,1993,113,-336,5,-67.2,150,26,5.769230769230769
607,1989,-185,-378,5,-75.6,62,15,4.133333333333334
607,2009,-26,-709,4,-177.25,792,1,792
607,2019,392,-374,9,-41.55555555555556,NaN,NaN,NaN
608,2005,239,-236,10,-23.6,-720,1,-720
608,2006,-481,-720,1,-720,414,1,414
610,2004,258,-312,2,-156,267,10,26.7
610,2015,-252,-777,1,-777,613,2,306.5
611,1988,78,-27,4,-6.75,257,1,257
611,2000,127,-292,4,-73,207,1,207
612,1989,226,-182,3,-60.666666666666664,256,1,256
612,2000,300,-182,10,-18.2,193,1,193
612,2019,370,-123,18,-6.833333333333333,NaN,NaN,NaN
613,1990,-140,-81,6,-13.5,346,1,346
613,1997,8,-198,6,-33,49,22,2.227272727272727
614,2010,458,-118,26,-4.538461538461538,198,4,49.5
614,2019,594,-62,5,-12.4,NaN,NaN,NaN
615,1994,205,-502,10,-50.2,628,1,628
615,2001,768,-65,6,-10.833333333333334,-951,1,-951
615,2002,-183,-951,1,-951,728,1,728
616,2008,-514,-721,1,-721,245,1,245
617,2013,-139,-356,1,-356,103,6,17.166666666666668
618,2019,279,-129,35,-3.685714285714285,NaN,NaN,NaN
619,1995,262,-297,1,-297,296,3,98.66666666666667
619,2009,530,-28,11,-2.545454545454545,-187,1,-187
619,2010,343,-187,1,-187,-68,9,-7.555555555555555
619,2019,275,-68,9,-7.555555555555555,NaN,NaN,NaN
620,1996,126,-29,12,-2.416666666666667,220,1,220
620,2009,326,-20,12,-1.666666666666667,-285,1,-285
620,2010,41,-285,1,-285,120,9,13.333333333333334
621,1995,-322,-934,1,-934,596,1,596
622,2019,657,-47,35,-1.342857142857143,NaN,NaN,NaN
623,2019,497,-93,35,-2.657142857142857,NaN,NaN,NaN
624,2012,648,-61,28,-2.178571428571428,-308,1,-308
624,2013,340,-308,1,-308,0,6,0
625,1998,639,-18,14,-1.285714285714286,-136,1,-136
625,1999,503,-136,1,-136,0,20,0
627,2006,-167,-475,1,-475,44,3,14.666666666666666
627,2011,-87,-207,1,-207,197,8,24.625
628,1995,194,-235,11,-21.363636363636363,321,2,160.5
628,2002,173,-342,5,-68.4,501,11,45.54545454545455
628,2015,307,-367,2,-183.5,133,4,33.25
629,1990,9,-208,3,-69.33333333333333,179,3,59.666666666666664
629,1996,-35,-223,3,-74.33333333333333,182,10,18.2
629,2019,-34,-181,13,-13.923076923076923,NaN,NaN,NaN
630,1998,508,-222,1,-222,179,16,11.1875
630,2015,217,-470,1,-470,276,1,276
631,1998,6,-692,1,-692,-236,2,-118
631,2000,-230,-236,2,-118,328,2,164
632,1999,-349,-481,1,-481,164,1,164
633,2009,43,-243,7,-34.714285714285715,254,1,254
633,2015,-121,-418,5,-83.6,337,1,337
633,2019,-38,-254,3,-84.66666666666667,NaN,NaN,NaN
634,1999,77,-273,4,-68.25,26,6,4.333333333333333
634,2006,-161,-264,1,-264,269,13,20.692307692307693
635,1987,448,-311,1,-311,172,7,24.571428571428573
635,1995,248,-372,1,-372,376,4,94
635,2019,527,-97,20,-4.85,NaN,NaN,NaN
636,2006,623,-92,22,-4.181818181818182,-684,1,-684
636,2007,-61,-684,1,-684,3,12,0.25
637,2002,-451,-1164,1,-1164,302,1,302
638,1992,598,-26,8,-3.25,-427,1,-427
638,1993,171,-427,1,-427,376,26,14.461538461538462
639,2013,-69,-411,1,-411,-154,6,-25.666666666666668
639,2019,-223,-154,6,-25.666666666666668,NaN,NaN,NaN
640,2016,-249,-869,1,-869,461,1,461
641,2000,-51,-332,1,-332,174,19,9.157894736842104
642,2008,675,-35,24,-1.458333333333333,-178,1,-178
642,2009,497,-178,1,-178,178,10,17.8
643,2011,-410,-591,1,-591,344,1,344
644,1991,54,-41,7,-5.857142857142857,192,1,192
644,1997,176,-70,5,-14,141,1,141
644,1999,88,-229,1,-229,16,20,0.8
645,2019,651,-30,35,-0.857142857142857,NaN,NaN,NaN
646,2010,600,-12,14,-0.857142857142857,-450,1,-450
646,2011,150,-450,1,-450,315,3,105
647,2000,82,-184,1,-184,98,19,5.157894736842105
648,2008,424,-388,1,-388,4,8,0.5
650,1995,257,-430,1,-430,-23,8,-2.875
650,2003,234,-23,8,-2.875,260,1,260
651,2001,48,-633,1,-633,325,7,46.42857142857143
652,2013,17,-435,1,-435,280,1,280
653,1992,-101,-89,8,-11.125,350,2,175
653,2005,24,-225,1,-225,163,1,163
653,2019,55,-132,13,-10.153846153846153,NaN,NaN,NaN
655,1993,463,-147,1,-147,122,26,4.692307692307693
656,1998,463,-131,1,-131,84,21,4
657,2019,308,-13,18,-0.722222222222222,NaN,NaN,NaN
