# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true, postMetrics=false, regrowthMetrics=true
id, year, value, magnitude, duration, rate, indexRegrowth, recoveryIndicator, y2r60, y2r80, y2r100
56,2019,277,-73,11,-6.636363636363637,NaN,NaN,NaN,NaN,NaN
57,2009,486,-181,12,-15.083333333333334,151.33333333333337,-0.83609576427256,1,1,NaN
57,2019,610,-41,8,-5.125,NaN,NaN,NaN,NaN,NaN
58,2019,80,-44,24,-1.833333333333333,NaN,NaN,NaN,NaN,NaN
59,2005,476,-74,21,-3.523809523809524,-183,2.472972972972973,NaN,NaN,NaN
59,2006,-120,-596,1,-596,413,-0.692953020134228,3,NaN,NaN
60,2019,-78,-157,28,-5.607142857142857,NaN,NaN,NaN,NaN,NaN
61,2014,460,-277,1,-277,0,-0,1,NaN,NaN
62,2008,-156,-231,1,-231,99,-0.428571428571429,NaN,NaN,NaN
63,1999,-184,-308,1,-308,0,-0,NaN,NaN,NaN
64,2015,705,-71,31,-2.290322580645161,-779,10.971830985915492,NaN,NaN,NaN
64,2016,-74,-779,1,-779,NaN,NaN,NaN,NaN,NaN
65,2019,413,-90,35,-2.571428571428572,NaN,NaN,NaN,NaN,NaN
66,2016,-59,-772,1,-772,NaN,NaN,NaN,NaN,NaN
66,2019,234,-107,1,-107,NaN,NaN,NaN,NaN,NaN
67,2016,-59,-652,1,-652,NaN,NaN,2,NaN,NaN
67,2019,366,-13,1,-13,NaN,NaN,NaN,NaN,NaN
68,2002,-60,-504,1,-504,308,-0.611111111111111,2,2,8
68,2009,114,-270,5,-54,335.3333333333333,-1.241975308641975,1,1,1
68,2019,264,-265,9,-29.444444444444443,NaN,NaN,NaN,NaN,NaN
69,1998,204,-11,14,-0.785714285714286,-363.5,33.04545454545455,NaN,NaN,NaN
69,1999,-162,-366,1,-366,17.5,-0.047814207650273,NaN,NaN,NaN
70,1999,70,-199,4,-49.75,86.66666666666666,-0.435510887772194,1,6,NaN
70,2006,-338,-560,1,-560,184.33333333333334,-0.329166666666667,NaN,NaN,NaN
70,2019,-146,-104,12,-8.666666666666666,NaN,NaN,NaN,NaN,NaN
71,2004,380,-187,2,-93.5,147.33333333333337,-0.787878787878788,1,2,5
71,2013,67,-486,1,-486,102,-0.209876543209877,NaN,NaN,NaN
72,2003,634,-92,19,-4.842105263157895,-177,1.923913043478261,2,NaN,NaN
72,2004,332,-302,1,-302,180,-0.596026490066225,1,1,7
72,2009,457,-88,4,-22,214.66666666666663,-2.439393939393939,1,1,1
73,2014,322,-244,24,-10.166666666666666,-348,1.426229508196721,NaN,NaN,NaN
73,2015,-165,-487,1,-487,139,-0.285420944558522,NaN,NaN,NaN
74,1993,602,-57,9,-6.333333333333333,-28,0.491228070175439,4,4,NaN
74,1994,65,-537,1,-537,510.66666666666663,-0.950962135319677,2,3,8
74,2006,196,-415,1,-415,380.66666666666663,-0.917269076305221,1,2,6
75,2015,690,-48,31,-1.548387096774194,-335,6.979166666666667,NaN,NaN,NaN
75,2016,355,-335,1,-335,NaN,NaN,NaN,NaN,NaN
76,1991,-48,-489,1,-489,489.3333333333333,-1.00068166325835,2,2,5
77,1997,583,-2,13,-0.153846153846154,-192,96,1,2,2
77,1998,400,-183,1,-183,-15.333333333333314,0.083788706739526,1,1,1
77,2001,391,-250,2,-125,163.66666666666663,-0.654666666666667,1,4,9
78,1990,-215,-862,1,-862,633.3333333333333,-0.734725444702243,2,20,NaN
78,2003,255,-82,12,-6.833333333333333,209.66666666666669,-2.556910569105691,1,1,1
79,1990,265,-72,6,-12,-354,4.916666666666667,NaN,NaN,NaN
79,1991,-151,-416,1,-416,85.66666666666667,-0.205929487179487,22,26,NaN
80,1990,-150,-115,6,-19.166666666666668,352.66666666666663,-3.066666666666666,1,1,1
80,2001,-150,-456,2,-228,319.66666666666663,-0.701023391812865,1,1,NaN
80,2019,150,-101,17,-5.941176470588236,NaN,NaN,NaN,NaN,NaN
81,1991,33,-560,1,-560,-26,0.046428571428571,NaN,NaN,NaN
81,2001,-206,-239,10,-23.9,81.33333333333333,-0.340306834030683,NaN,NaN,NaN
82,1993,249,-379,9,-42.111111111111114,311.33333333333337,-0.821459982409851,1,1,4
82,1998,419,-233,1,-233,161.33333333333337,-0.69241773962804,1,1,NaN
83,2003,-51,-638,1,-638,333,-0.521943573667712,5,NaN,NaN
84,1998,24,-610,1,-610,216,-0.354098360655738,11,19,NaN
84,2005,240,-12,6,-2,216.66666666666669,-18.055555555555557,1,1,1
85,1999,488,-158,1,-158,58,-0.367088607594937,1,1,NaN
85,2001,314,-288,1,-288,354,-1.229166666666667,2,3,3
85,2019,715,-31,12,-2.583333333333333,NaN,NaN,NaN,NaN,NaN
86,2006,370,-195,1,-195,-254,1.302564102564103,1,NaN,NaN
86,2008,116,-322,1,-322,72,-0.22360248447205,6,NaN,NaN
87,2004,459,-270,2,-135,-92,0.340740740740741,1,5,NaN
87,2010,-74,-697,1,-697,17.666666666666664,-0.025346724055476,NaN,NaN,NaN
88,1990,498,-1,6,-0.166666666666667,-51,51,2,3,NaN
88,1991,-37,-535,1,-535,511.3333333333333,-0.955763239875389,1,2,6
88,2014,-89,-713,1,-713,0,-0,NaN,NaN,NaN
89,2009,489,-173,1,-173,-445,2.572254335260116,NaN,NaN,NaN
89,2010,41,-448,1,-448,3,-0.006696428571429,NaN,NaN,NaN
90,1992,528,-131,8,-16.375,0,-0,1,1,24
92,2005,48,-122,21,-5.809523809523809,-72,0.590163934426229,1,1,1
92,2007,-24,-288,1,-288,0,-0,NaN,NaN,NaN
93,2010,262,-400,1,-400,261,-0.6525,1,NaN,NaN
95,2007,-106,-291,1,-291,0,-0,NaN,NaN,NaN
96,2019,208,-70,25,-2.8,NaN,NaN,NaN,NaN,NaN
97,2011,-114,-436,1,-436,203,-0.465596330275229,NaN,NaN,NaN
99,2010,638,-16,8,-2,-148.66666666666669,9.291666666666668,2,NaN,NaN
99,2011,-36,-674,1,-674,548.3333333333334,-0.813550939663699,1,5,NaN
100,2010,172,-168,9,-18.666666666666668,-288.6666666666667,1.718253968253968,NaN,NaN,NaN
100,2011,-306,-478,1,-478,248,-0.518828451882845,NaN,NaN,NaN
100,2019,-91,-185,2,-92.5,NaN,NaN,NaN,NaN,NaN
101,2014,473,-16,30,-0.533333333333333,-251,15.6875,NaN,NaN,NaN
101,2015,-365,-838,1,-838,587,-0.700477326968974,NaN,NaN,NaN
102,2002,-478,-988,1,-988,811.6666666666667,-0.821524966261808,5,9,10
103,1998,-168,-805,1,-805,182,-0.226086956521739,20,NaN,NaN
103,2011,-493,-734,1,-734,683.6666666666666,-0.931425976385104,2,2,5
104,2011,220,-287,4,-71.75,110,-0.383275261324042,1,1,1
104,2019,332,-236,7,-33.714285714285715,NaN,NaN,NaN,NaN,NaN
105,1990,618,-70,6,-11.666666666666666,115,-1.642857142857143,1,4,4
105,1992,319,-299,2,-149.5,395.16666666666663,-1.321627647714604,1,2,2
106,2007,449,-50,23,-2.173913043478261,-190.66666666666669,3.813333333333334,NaN,NaN,NaN
106,2008,83,-366,1,-366,207,-0.565573770491803,6,9,NaN
107,1999,-43,-572,1,-572,211,-0.368881118881119,9,10,15
108,1999,-421,-882,1,-882,770.3333333333333,-0.87339380196523,4,6,9
109,2006,140,-375,1,-375,107.33333333333334,-0.286222222222222,7,NaN,NaN
110,1995,521,-206,6,-34.333333333333336,-5,0.024271844660194,1,NaN,NaN
110,2013,-508,-1035,1,-1035,808.6666666666667,-0.781320450885668,NaN,NaN,NaN
111,2003,56,-470,3,-156.66666666666666,59,-0.125531914893617,NaN,NaN,NaN
112,1995,8,-135,1,-135,83.33333333333333,-0.617283950617284,1,4,4
112,2002,-72,-303,3,-101,350,-1.155115511551155,2,2,2
112,2019,136,-146,15,-9.733333333333333,NaN,NaN,NaN,NaN,NaN
113,1998,287,-337,2,-168.5,198.33333333333331,-0.588526211671612,2,5,NaN
114,1994,38,-163,10,-16.3,105,-0.644171779141104,1,1,1
114,2000,49,-428,5,-85.6,96,-0.224299065420561,10,14,NaN
114,2019,258,-93,9,-10.333333333333334,NaN,NaN,NaN,NaN,NaN
115,2002,-491,-1111,1,-1111,477.6666666666667,-0.42994299429943,10,NaN,NaN
116,2014,536,-78,30,-2.6,-151,1.935897435897436,3,NaN,NaN
116,2015,-39,-575,1,-575,424,-0.737391304347826,2,NaN,NaN
117,2006,-154,-338,1,-338,129.66666666666666,-0.383629191321499,3,NaN,NaN
117,2010,-75,-200,1,-200,42,-0.21,NaN,NaN,NaN
118,2006,519,-108,22,-4.909090909090909,-126.66666666666669,1.17283950617284,2,NaN,NaN
118,2007,361,-158,1,-158,47.666666666666686,-0.30168776371308,1,5,9
119,1998,388,-221,6,-36.833333333333336,-10,0.045248868778281,1,10,NaN
119,2019,317,-242,11,-22,NaN,NaN,NaN,NaN,NaN
120,2005,272,-281,1,-281,54,-0.192170818505338,6,12,NaN
121,1996,695,-10,12,-0.833333333333333,-172,17.2,1,1,NaN
121,1998,518,-177,2,-88.5,24.33333333333337,-0.137476459510358,1,6,15
122,1999,76,-609,1,-609,456,-0.748768472906404,1,12,NaN
123,2019,269,-95,29,-3.275862068965517,NaN,NaN,NaN,NaN,NaN
124,1998,192,-104,14,-7.428571428571429,52.33333333333334,-0.503205128205128,1,1,1
124,2002,102,-451,3,-150.33333333333334,359,-0.796008869179601,2,2,NaN
